time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_total_offside,statistics_good_high_claim,home_manager,statistics_goals,statistics_punches,statistics_penalty_won,statistics_penalty_miss,statistics_big_chance_created,statistics_big_chance_missed,statistics_goal_assist,statistics_hit_woodwork,statistics_error_lead_to_a_goal,statistics_penalty_conceded,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_own_goals,statistics_error_lead_to_a_shot,statistics_clearance_off_line,statistics_penalty_shootout_save,statistics_last_man_tackle,statistics_penalty_save,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Lucas Fernandes,11,M,FALSE,NA,33,31,6,5,3,NA,1,NA,NA,59,47,6.6,10,4,NA,NA,3,3,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Brenner,30,F,FALSE,NA,10,9,1,1,4,NA,1,NA,NA,67,20,7,5,1,NA,1,1,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Diego Souza,9,F,TRUE,NA,11,4,1,NA,1,NA,NA,NA,NA,31,15,6.4,10,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Christian Cueva,10,M,TRUE,NA,21,15,1,1,5,NA,4,NA,NA,23,33,6.7,11,1,NA,NA,3,3,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Caique,36,D,TRUE,NA,1,1,NA,NA,2,NA,1,NA,NA,12,5,6.5,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Jean,1,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Reinaldo,14,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Marquinhos Cipriano,27,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Aderllan Santos,32,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Pedro Augusto,39,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Felipe Araruna,28,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Guilherme Bissoli,29,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,2,home,São Paulo,Novorizontino,Estádio Cícero Pompeu de Toledo,Paulista Série A1,0,0,Eduardo Baptista,Paulinho Bóia,26,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
